Название вакансии,URL,Название компании,Описание
Помощник главного бухгалтера,https://belgorod.hh.ru/vacancy/34599713?query=1c,ООО Белмашснаб,"Обработка первичной документации. Платежи ч/з клиент-банк. Выписка счетов. Внимательность. Исполнительность, легкообучаемость. Требования: Знание бухучета. Знание 1С 8."
Программист 1C,https://belgorod.hh.ru/vacancy/33621683?query=1c, Мебель-Маркет,"...платформе 1С:8х. Плановые обновления типовых конфигураций 1С: ЗУП, УПП. Поддержка и помощь во внедрении 1С... Знание основ бухгалтерского и управленческого учета (желательно). Опыт программирования на платформе 1С:8х. Опыт разработки отчётов и обработок."
Финансовый директор,https://belgorod.hh.ru/vacancy/34212360?query=1c,ООО ТД Химтек,"Составление управленческих отчетов. Аудит бухгалтерского и налогового учета. Краткосрочное и долгосрочное планирование, контроль за выполнением плана. Оптимизация бухгалтерского и налогового... Опытный пользователь ПК: Word, Excel,Internet, электронная почта. Знание программ 1С. Высокая самообучаемость, внимательность, ответственность, умение работать в режиме..."
Заместитель главного бухгалтера/ Менеджер по аренде,https://belgorod.hh.ru/vacancy/34404549?query=1c,ООО МФ-регион,"Осуществление базовых операций по внесению информации в учетные системы и базы данных: Прием, контроль и обработка первичной бухгалтерской документации: актов... Уверенный пользователь ПК. Владение компьютерными программами (MS office, 1С 8.3 Управление торговлей). Знание бухгалтерских счетов, статей затрат. "
Региональный менеджер,https://belgorod.hh.ru/vacancy/34310558?query=1c,ООО ТДК Сириус,"Развитие продаж на вверенной территории. Проведение деловых переговоров, презентаций, участие в тематических выставках. Контроль дебиторской задолженности. Организаторские способности. Знание 1С, офисных программ."
Финансовый директор,https://belgorod.hh.ru/vacancy/34334639?query=1c,ООО Белгородский Ювелирный Завод КАРАТ,"Организация и проведение регулярного финансового анализа, планирования и контроля. Постановка и осуществление управленческого учета. Обеспечение соответствия финансового планирования стратегии компании.  Опыт работы на аналогичной должности - 10 лет. Уверенное владение ПК, знание 1С. Знание законодательных и иных нормативно-правовых актов..."
Программист 1C,https://belgorod.hh.ru/vacancy/34436137?query=1c, 1C-Рарус,...решений и сервисов. Решение сложных и нестандартных задач. Доработка типовых решений 1С и 1С-Рарус под требования заказчика. У Вас есть опыт в программировании на платформе 1С более трех лет. У Вас есть сертификаты 1С:Специалист. 
Помощник бухгалтера,https://belgorod.hh.ru/vacancy/34294565?query=1c,ООО РосТехСервис,"Обработка первичной документации. Выполнение заданий руководителя. Знание 1С 8.3, 1.С УТ 8.3. Бухгалтерское образование. Word. Exсel обязательно."
Бухгалтер на первичную документацию,https://belgorod.hh.ru/vacancy/34392603?query=1c,ООО ОйлПродукт,"Ведение первичной бухгалтерской документации. Учет расчетов с подотчетными лицами. Ведение кассовых операций. Ведение бухгалтерского учета ГСМ. Поступление и списание ТМЦ.  Высшее экономическое или бухгалтерское образование. Знание программ 1С: Бухгалтерия 8.3, ""Камин"". Условия: Ответственный подход к работе. Внимательность.Исполнительность."
Программист 1С,https://belgorod.hh.ru/vacancy/34446356?query=1c, Сеть аптек «Таблеточка»,"Разработка и поддержка подсистем на платформ 1С Предприятие 8.3 (основное направление работы ""Розница""). Обновление конфигураций. Интеграция с внешними... Высшее техническое образование, соответствующее профилю работы. Опыт в программировании в среде 1С от 2 лет. Деловые и личностные характеристики..."
Программист 1С,https://belgorod.hh.ru/vacancy/33478784?query=1c,ООО Страна Мадагаскария,"Постоянная работа по поддержке перехода компании на БД 1С. Создание отчетов, шаблонов, печатных форм. Разработка внутренних процессов движения документов.  В/о профильное."
Программист 1C,https://belgorod.hh.ru/vacancy/34181085?query=1c,ООО ЦентрПрограммСистем,"Разработка и сопровождение типовых и не типовых конфигураций. Создание и модификация существующих документов, отчетов и обработок. Разработка методов и форм... Опыт программирования на платформе 1С 8.2 / 8.3 на управляемых формах. Приветствуется опыт доработки высоко нагруженных конфигураций УПП..."
Программист 1C/Консультант 1С,https://belgorod.hh.ru/vacancy/34236814?query=1c,ООО i-Tech GuRu,"Участие в проектах внедрения и сопровождения решений на платформе 1С. Опыт в сфере 1С-разработки либо консультации 1С от 5 лет. Знание принципов работы с управляемыми интерфейсами, СКД. "
Оператор 1C (координатор-кассир),https://belgorod.hh.ru/vacancy/33492137?query=1c,ООО Континент,"Ведение кассовых операций. Выписка товарно-транспортных накладных и счетов-фактур, а также соответствующих сопроводительных документов. Систематизация, архивация и хранение отгруженных... Знание кассовой дисциплины, опыт работы с денежной наличностью. Хорошее знание 1С 8.2: Торговля и склад и MS Office..."
Программист 1С,https://belgorod.hh.ru/vacancy/34643095?query=1c, БЫСТРЫЙ ЗАЁМ,"Постановка Технического задания и его выполнение. Доработка конфигурации по требованию. Создание и доработка печатных форм, отчетов, обработок. Обновление измененных конфигураций.  Образование высшее профильное. Владение навыками программирования на платформе 1С7.7, 1С8.3. Дисциплинированность, ответственность. "
Главный бухгалтер,https://belgorod.hh.ru/vacancy/34549567?query=1c,ООО Прогресс,"Полное ведение финансово-хозяйственной деятельности организации в единственном лице. Ведение кадрового учета. Сдача бухгалтерской и налоговой отчетности, предоставление отчетности в... Знание ОСНО. Знание ВЭД (Украина, Беларусь). Знание клиент-банка."
Главный бухгалтер,https://belgorod.hh.ru/vacancy/34460874?query=1c,ООО РУСПАБ,"Руководство отделом бухгалтерии одного юр. лица с филиальной системой (4 подразделения). - Взаимодействие с налоговыми органами, пенсионными фондами, фондами социального страхования... Организаторские способности, внимательность, коммуникативные навыки, деловой этикет. - Знание 1С 8.3, ЗУП (8.2), Кипер, СБИС, Аргос, клиент-банк..."
Менеджер по работе с ключевыми клиентами,https://belgorod.hh.ru/vacancy/32873567?query=1c," Стойленская Нива, АПК","Развитие и поиск дистрибьюторов, локальных сетей. Развитие дополнительных каналов сбыта продукции на закрепленной территории (планирование вторичных продаж совместно с дистрибьюторами).  Опыт управления торговыми командами дистрибьюторов. Опытный пользователь ПК (MicrosoftOffice, Excel, PowerPoint, 1С). Умение решать проблемные ситуации и приходить к..."
